year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean
0.0,1,0.0,4823.0,10.5487469,12.34062658
0.0,2,0.0,8070.0,11.94745098,13.76565471
0.0,1,0.0,8047.0,11.95573301,13.76565471
